Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,purchases_per_year,loyalty_factor,eltv,discount_premium,satisfaction_index,category_affinity,loyalty_tier,H_score,F_score,M_score,rfm_score,segment
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,1,Express,1,1,18,Credit Card,Monthly,12,0.43801083227152526,21.60728739131776,0.4712640708417055,0.6377560126081513,0.9995779943221055,Silver,2,2,3,7,Occasional Buyer
41,69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,1,Next Day Air,1,1,31,Debit Card,Quarterly,4,0.3987367149316104,6.928138816848224,2.3996554557680767,0.6471319583709374,1.2700808625336928,Gold,4,1,4,9,Promo-Dependent
42,67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,1,Standard,1,1,40,Venmo,Annually,1,0.38933467262132265,1.4362086746069729,2.3996554557680767,0.6217130883704184,0.6517520215633423,Platinum,4,1,2,7,Occasional Buyer
43,20,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,1,Free Shipping,1,1,15,PayPal,Annually,1,0.2936047565606729,1.3550213358453451,3.3361111111111157,0.5545671051582883,1.7490822716475922,Silver,2,1,5,8,Promo-Dependent
44,25,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,1,Store Pickup,1,1,19,PayPal,Fortnightly,26,0.6047675612693206,66.80315477156108,2.3996554557680767,0.6649535122538641,1.1530997304582211,Silver,2,2,4,8,Promo-Dependent
45,39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,1,Free Shipping,1,1,45,PayPal,Weekly,52,0.9895026640676601,205.24973773193472,2.3996554557680767,0.949900532813532,0.8857142857142858,Platinum,5,3,3,11,Loyal Promo-User
46,50,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,1,2-Day Shipping,1,1,25,PayPal,Annually,1,0.3429973656062879,1.0602194184790994,0.4712640708417055,0.4204456269674114,0.34985229801273693,Silver,3,1,1,5,At-Risk / One-Timer
47,57,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,1,Store Pickup,1,1,45,Cash,Quarterly,4,0.43565651022150625,6.594427399716915,0.4712640708417055,0.4505159174289166,0.7163642292641755,Platinum,5,1,2,8,Promo-Dependent
48,55,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,1,Free Shipping,1,1,36,Cash,Weekly,52,0.9673528024834868,201.57825933542486,2.3996554557680767,0.9334705604966973,0.9024258760107817,Gold,4,3,3,10,Promo-Dependent
49,42,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,1,Store Pickup,1,1,38,Cash,Monthly,12,0.5111699938557008,24.691667988241456,0.4712640708417055,0.4723878449249863,0.9162798281285967,Gold,4,2,3,9,Promo-Dependent
50,68,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,1,Next Day Air,1,1,34,Debit Card,Bi-Weekly,26,0.6616994641775042,59.0789548232059,0.4712640708417055,0.7843398928355008,0.49978899716105274,Gold,4,2,1,7,Occasional Buyer
51,49,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,3.887642067512437,1,Store Pickup,1,1,39,Debit Card,Bi-Weekly,26,0.6752841350248735,59.120917750057274,0.4712640708417055,0.7015738751064671,0.4664697306836492,Platinum,4,2,1,7,Occasional Buyer
52,59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,1,2-Day Shipping,1,1,7,Credit Card,Quarterly,4,0.2577035674205047,4.22050879973352,0.4712640708417055,0.6309253288687163,0.9829183610834037,Bronze,1,1,3,5,At-Risk / One-Timer
53,42,Male,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,1,Free Shipping,1,1,26,Credit Card,Weekly,52,0.9352983752456666,148.07191824888807,0.4712640708417055,0.6990596750491334,0.33319266477403514,Gold,3,3,1,7,Occasional Buyer
54,29,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,1,Next Day Air,1,1,35,Credit Card,Weekly,52,0.9645653976748835,161.45044448416334,0.4712640708417055,0.8609130795349766,0.3998311977288422,Gold,4,3,1,8,Promo-Dependent
55,47,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,1,Next Day Air,1,1,35,Debit Card,Bi-Weekly,26,0.6645653976748835,78.68507419315337,3.3361111111111157,0.7369130795349768,1.6441373353487367,Gold,4,2,5,11,Loyal Promo-User
56,40,Male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3.0,1,2-Day Shipping,1,1,49,Credit Card,Annually,1,0.40952386281044434,1.378987995521562,3.3361111111111157,0.4457509264082427,0.4897430360613258,Platinum,5,1,1,7,Occasional Buyer
57,41,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,1,Store Pickup,1,1,46,Credit Card,Weekly,52,0.9916905744410976,221.95164080499904,2.3996554557680767,0.9623381148882195,1.2199460916442049,Platinum,5,3,4,12,Loyal Promo-User
58,21,Male,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,1,Store Pickup,1,1,17,Debit Card,Fortnightly,26,0.5940488239193306,64.47453605489854,3.3361111111111157,0.7468097647838661,1.119412653854459,Silver,2,2,3,7,Occasional Buyer
59,69,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,1,Free Shipping,1,1,29,Venmo,Monthly,12,0.4844786510571952,23.29760851101793,0.4712640708417055,0.6470495763652853,0.8996201948898949,Gold,3,2,3,8,Promo-Dependent
60,63,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,1,Standard,1,1,4,Debit Card,Weekly,52,0.7637344137582149,174.0286362310881,2.3996554557680767,0.904746882751643,1.3202156334231807,Bronze,1,3,4,8,Promo-Dependent
61,50,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4.0,1,Express,1,1,17,Cash,Weekly,52,0.8940488239193305,169.11334065644766,0.4712640708417055,0.8588097647838661,0.616406429831965,Silver,2,3,2,7,Occasional Buyer
62,55,Male,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,1,Store Pickup,1,1,21,Credit Card,Every 3 Months,4,0.36061768479732753,6.107574739492676,2.3996554557680767,0.6515081523440809,1.136388140161725,Silver,3,1,3,7,Occasional Buyer
63,30,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,1,Free Shipping,1,1,31,Credit Card,Fortnightly,26,0.6525828687777642,52.44619514488713,-2.7198160345219193,0.6865165737555528,0.34851633280691546,Gold,4,2,1,7,Occasional Buyer
64,33,Male,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,1,2-Day Shipping,1,1,43,Credit Card,Weekly,52,0.9849804123990342,224.44294089176083,2.3996554557680767,0.7209960824798068,1.3202156334231807,Platinum,5,3,4,12,Loyal Promo-User
65,65,Male,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,1,Standard,1,1,18,Debit Card,Fortnightly,26,0.5995492938099868,69.0688201514463,-2.7198160345219193,0.7959098587619973,1.3774693153797135,Silver,2,2,4,8,Promo-Dependent
66,65,Male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,1,2-Day Shipping,1,1,44,Venmo,Every 3 Months,4,0.4334205100758389,6.260183534160973,2.3996554557680767,0.6780687173997832,0.6016172506738545,Platinum,5,1,2,8,Promo-Dependent
67,31,Male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,1,2-Day Shipping,1,1,3,Venmo,Every 3 Months,4,0.18718699366495184,3.409706099436004,0.4712640708417055,0.6168220141176057,1.5660055244379651,Bronze,1,1,5,7,Occasional Buyer
68,45,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,1,Store Pickup,1,1,49,Debit Card,Monthly,12,0.5364469397335212,22.70046374192921,3.3361111111111157,0.6814432341005505,0.5771971496437054,Platinum,5,2,1,8,Promo-Dependent
69,57,Male,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,1,Next Day Air,1,1,21,Cash,Every 3 Months,4,0.36061768479732753,5.553725257026658,2.3996554557680767,0.5555081523440809,0.768733153638814,Silver,3,1,2,6,Occasional Buyer
70,48,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,1,Express,1,1,5,Cash,Weekly,52,0.7822826988374417,173.4002773615806,2.3996554557680767,0.8844565397674884,1.169811320754717,Bronze,1,3,4,8,Promo-Dependent
71,22,Male,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,1,Express,1,1,32,Debit Card,Every 3 Months,4,0.4018672361236636,5.467319165118448,2.3996554557680767,0.599758062609348,0.4846361185983828,Gold,4,1,1,6,Occasional Buyer
72,36,Male,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,1,Express,1,1,34,Bank Transfer,Annually,1,0.37323792571596587,1.4525749353261022,0.4712640708417055,0.426493738989347,0.7996623954576844,Gold,4,1,2,7,Occasional Buyer
73,18,Male,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,1,Store Pickup,1,1,21,Bank Transfer,Every 3 Months,4,0.36061768479732753,4.754148240352644,0.4712640708417055,0.43550815234408086,0.4331504642062457,Silver,3,1,1,5,At-Risk / One-Timer
74,48,Male,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,1,Free Shipping,1,1,43,Bank Transfer,Bi-Weekly,26,0.6849804123990342,79.3296568468625,0.4712640708417055,0.5609960824798069,1.4160688252896494,Platinum,5,2,5,12,Loyal Promo-User
75,49,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,1,Express,1,1,3,Cash,Monthly,12,0.27949468597264415,13.675800569113528,2.3996554557680767,0.6420527833483751,0.9692722371967656,Bronze,1,2,3,6,Occasional Buyer
76,64,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,1,Free Shipping,1,1,21,Credit Card,Annually,1,0.32600230018194293,1.4521274643878617,2.3996554557680767,0.3930466138825424,1.4204851752021563,Silver,3,1,5,9,Promo-Dependent
77,50,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,1,Free Shipping,1,1,32,Venmo,Monthly,12,0.4941749284313559,22.440619698146826,2.3996554557680767,0.6489888318401174,0.7185983827493262,Gold,4,2,2,8,Promo-Dependent
78,22,Male,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,1,Next Day Air,1,1,36,Debit Card,Fortnightly,26,0.6673528024834868,69.21355174595129,0.4712640708417055,0.6294705604966974,0.8829605616511932,Gold,4,2,3,9,Promo-Dependent
79,50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,1,Free Shipping,1,1,50,Venmo,Fortnightly,26,0.7,82.29655210229252,0.4712640708417055,0.804,1.51602662472186,Platinum,5,2,5,12,Loyal Promo-User
80,38,Male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,1,2-Day Shipping,1,1,43,Bank Transfer,Every 3 Months,4,0.43113425855288035,7.889258503243111,3.3361111111111157,0.4136114670951915,1.6791189807816886,Platinum,5,1,5,11,Loyal Promo-User
81,19,Male,Sandals,Footwear,72,New York,XL,Blue,Summer,3.963734413758215,1,Store Pickup,1,1,24,Credit Card,Every 3 Months,4,0.3736226736702761,6.412051710702961,-2.7198160345219193,0.5657572797696564,1.1949131410522815,Silver,3,1,4,8,Promo-Dependent
82,67,Male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,1,Express,1,1,36,Credit Card,Every 3 Months,4,0.413506648637333,7.566693620821392,-2.7198160345219193,0.41008594511208196,1.5932175214030422,Gold,4,1,5,10,Promo-Dependent
83,19,Male,Pants,Clothing,28,Georgia,S,Olive,Spring,4.0,1,2-Day Shipping,1,1,21,Credit Card,Every 3 Months,4,0.36061768479732753,4.857225704949671,0.4712640708417055,0.5675081523440809,0.4664697306836492,Silver,3,1,1,5,At-Risk / One-Timer
84,36,Male,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.1,1,Standard,1,1,34,Bank Transfer,Weekly,52,0.9616994641775043,185.70969387017215,0.4712640708417055,0.8843398928355009,0.6663853295480703,Gold,4,3,2,9,Promo-Dependent
85,52,Male,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,1,Standard,1,1,42,Bank Transfer,Every 3 Months,4,0.4287954449459535,5.997146062303641,3.3361111111111157,0.6291437043738061,0.5597063269272295,Platinum,5,1,1,7,Occasional Buyer
86,53,Male,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,1,Next Day Air,1,1,2,Debit Card,Bi-Weekly,26,0.41176612508188887,48.86554317645619,2.3996554557680767,0.7223532250163778,1.587601078167116,Bronze,1,2,5,8,Promo-Dependent
87,24,Male,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,1,2-Day Shipping,1,1,47,Cash,Bi-Weekly,26,0.6938324201041003,67.42622527688108,0.4712640708417055,0.6827664840208201,0.6830449627867721,Platinum,5,2,2,9,Promo-Dependent
88,52,Male,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,1,2-Day Shipping,1,1,44,Debit Card,Fortnightly,26,0.6872666639219928,71.27888971112728,-2.7198160345219193,0.6814533327843986,0.8795888399412628,Platinum,5,2,3,10,Promo-Dependent
89,33,Male,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,1,Free Shipping,1,1,35,Credit Card,Monthly,12,0.5030269361364219,23.36782060422259,0.4712640708417055,0.5667592333811305,0.7830027622189826,Gold,4,2,2,8,Promo-Dependent
90,47,Male,Jacket,Outerwear,83,California,XL,Pink,Fall,3.6,1,Next Day Air,1,1,15,Cash,Quarterly,4,0.3282201411760575,5.817133260966398,3.3361111111111157,0.5130286436198269,1.4517382854675016,Silver,2,1,4,7,Occasional Buyer
91,25,Male,Hat,Accessories,48,South Carolina,L,Violet,Summer,2.9,1,Express,1,1,29,Credit Card,Monthly,12,0.4844786510571952,22.62604617822777,2.3996554557680767,0.4910495763652852,0.802156334231806,Gold,3,2,2,7,Occasional Buyer
92,44,Male,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.6,1,Standard,1,1,18,Credit Card,Every 3 Months,4,0.34570313996383295,6.368087173455648,2.3996554557680767,0.6365252433773819,1.6544474393531,Silver,2,1,5,8,Promo-Dependent
93,61,Male,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,1,2-Day Shipping,1,1,13,Venmo,Every 3 Months,4,0.3146354703286883,5.634915897773207,3.3361111111111157,0.6063117094503531,1.5217015763334052,Bronze,2,1,5,8,Promo-Dependent
94,37,Male,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,1,Standard,1,1,46,Credit Card,Weekly,52,0.9916905744410976,213.65279815370812,0.4712640708417055,0.9383381148882195,1.032897260799509,Platinum,5,3,3,11,Loyal Promo-User
95,58,Male,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,1,Free Shipping,1,1,28,Credit Card,Weekly,52,0.9425681751459875,212.90530298262541,0.4712640708417055,0.9405136350291975,1.2661321261413336,Gold,3,3,4,10,Promo-Dependent
96,37,Male,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.8,1,Free Shipping,1,1,48,PayPal,Monthly,12,0.5343916393001171,29.595381822748855,-2.7198160345219193,0.6090321740138696,1.6596015847948355,Platinum,5,2,5,12,Loyal Promo-User
97,32,Male,Gloves,Accessories,73,Delaware,S,Gold,Spring,3.992490206199517,1,Express,1,1,43,Venmo,Every 3 Months,4,0.43113425855288035,7.422519650887655,2.3996554557680767,0.5807102918391335,1.2199460916442049,Platinum,5,1,4,10,Promo-Dependent
98,21,Male,Shoes,Footwear,92,Virginia,M,Teal,Winter,4.8,1,Store Pickup,1,1,37,Cash,Annually,1,0.38160432910400116,1.729659588681884,-2.7198160345219193,0.656167019666954,1.5268334580112486,Gold,4,1,5,10,Promo-Dependent
99,20,Male,Jeans,Clothing,67,New York,XL,Teal,Spring,2.6,1,Next Day Air,1,1,20,Bank Transfer,Annually,1,0.3212696370396398,1.3555997089278913,0.4712640708417055,0.3801000812540818,1.1161954269930177,Silver,2,1,3,6,Occasional Buyer
100,26,Male,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,3.7,1,Express,1,1,33,Debit Card,Quarterly,4,0.40490429482751017,6.014565115840189,0.4712640708417055,0.5403654743501174,0.6663853295480703,Gold,4,1,2,7,Occasional Buyer
101,62,Male,Sunglasses,Accessories,98,South Dakota,M,Maroon,Fall,2.7,1,Express,1,1,31,Cash,Fortnightly,26,0.6525828687777642,77.96610884864049,2.3996554557680767,0.5545165737555529,1.6377358490566039,Gold,4,2,5,11,Loyal Promo-User
102,27,Male,Coat,Outerwear,85,North Dakota,XL,White,Spring,4.6,1,Express,1,1,50,Credit Card,Bi-Weekly,26,0.7,81.06912079181383,3.3361111111111157,0.7919999999999999,1.4867199309004533,Platinum,5,2,5,12,Loyal Promo-User
103,51,Male,Socks,Clothing,67,Oklahoma,L,Violet,Winter,4.8,1,Next Day Air,1,1,35,Credit Card,Quarterly,4,0.41071924382872965,6.932132055997716,0.4712640708417055,0.6735284641503614,1.1161954269930177,Gold,4,1,3,8,Promo-Dependent
